Transition_Name,Lipid_Name,For_Rgoslin,Precursor_Ion,Product_Ion,Retention_Time_[min],Delta_Retention_Time_[min],Collision_Energy,Cell_Accelerator_Voltage,Polarity,isISTD
PE 37:4 (a\b),PE 37:4,PE 37:4,754.6,613.5,7.3,1,19,5,Positive,FALSE
PE 38:3 (a\b),PE 38:3,PE 38:3,770.6,629.6,8.3,1.2,19,5,Positive,FALSE
PE 38:4,PE 38:4,PE 38:4,768.6,627.5,7.9,1,19,5,Positive,FALSE
PE 38:5 (a\b),PE 38:5,PE 38:5,766.5,625.5,7,1,19,5,Positive,FALSE
PE 38:6,PE 38:6,PE 38:6,764.5,623.5,6.6,1,19,5,Positive,FALSE
PE 39:6 (a\b),PE 39:6,PE 39:6,778.5,637.5,7.2,1,19,5,Positive,FALSE
PE 40:4,PE 40:4,PE 40:4,796.6,655.6,8.8,1,19,5,Positive,FALSE
PE 40:5 (a\b),PE 40:5,PE 40:5,794.6,653.6,8,1.4,19,5,Positive,FALSE
PE 40:6,PE 40:6,PE 40:6,792.6,651.5,7.7,1,19,5,Positive,FALSE
PE 40:7,PE 40:7,PE 40:7,790.5,649.5,6.8,1,19,5,Positive,FALSE
PE(O-34:1),PE O-34:1,PE O-34:1,704.6,563.5,8.5,1,19,5,Positive,FALSE
PE(O-34:2),PE O-34:2,PE O-34:2,702.5,561.5,7.6,1,19,5,Positive,FALSE
PE(O-36:3) (a\b),PE O-36:3,PE O-36:3,728.6,587.5,8.7,1,19,5,Positive,FALSE
PE(O-36:4),PE O-36:4,PE O-36:4,726.5,585.5,7.5,1,19,5,Positive,FALSE
PE(O-36:5),PE O-36:5,PE O-36:5,724.5,583.5,6.8,1,19,5,Positive,FALSE
PE(O-38:4) (a\b),PE O-38:4,PE O-38:4,754.6,613.6,8.7,1.2,19,5,Positive,FALSE
PE(O-38:5) (a\b),PE O-38:5,PE O-38:5,752.6,611.5,7.6,1.2,19,5,Positive,FALSE
PE(O-38:6),PE O-38:6,PE O-38:6,750.6,609.5,7.3,1.2,19,5,Positive,FALSE
PE(O-40:5),PE O-40:5,PE O-40:5,780.6,639.6,8.8,1,19,5,Positive,FALSE
PE(O-40:6),PE O-40:6,PE O-40:6,778.5,637.5,8.5,1,19,5,Positive,FALSE
PE(O-40:7),PE O-40:7,PE O-40:7,776.6,635.5,8.3,1,19,5,Positive,FALSE
PE(P-15:0/20:4) (a\b),PE P-15:0/20:4,PE P-15:0/20:4,710.5,361.3,6.8,1,19,5,Positive,FALSE
PE(P-15:0/22:6) (a\b),PE P-15:0/22:6,PE P-15:0/22:6,734.5,385.3,6.4,1,19,5,Positive,FALSE
PE(P-16:0/18:1),PE P-16:0/18:1,PE P-16:0/18:1,702.5,339.3,8.3,1,19,5,Positive,FALSE
PE(P-16:0/18:2),PE P-16:0/18:2,PE P-16:0/18:2,700.5,337.3,7.5,1,19,5,Positive,FALSE
PE(P-16:0/18:3),PE P-16:0/18:3,PE P-16:0/18:3,698.5,335.3,6.7,1,19,5,Positive,FALSE
PE(P-16:0/20:3),PE P-16:0/20:3,PE P-16:0/20:3,726.5,363.3,7.8,1,19,5,Positive,FALSE
PE(P-16:0/20:4),PE P-16:0/20:4,PE P-16:0/20:4,724.5,361.3,7.4,1,19,5,Positive,FALSE
PE(P-16:0/20:5),PE P-16:0/20:5,PE P-16:0/20:5,722.5,359.3,6.7,1,19,5,Positive,FALSE
PE(P-16:0/22:4),PE P-16:0/22:4,PE P-16:0/22:4,752.6,389.3,8.2,1,19,5,Positive,FALSE
PE(P-16:0/22:5) (a\b),PE P-16:0/22:5,PE P-16:0/22:5,750.5,387.3,7.5,1.4,19,5,Positive,FALSE
PE(P-16:0/22:6),PE P-16:0/22:6,PE P-16:0/22:6,748.5,385.3,7.1,1,19,5,Positive,FALSE
PE(P-17:0/20:4) (a\b),PE P-17:0/20:4,PE P-17:0/20:4,738.6,361.3,8,1,19,5,Positive,FALSE
PE(P-17:0/22:6) (a\b),PE P-17:0/22:6,PE P-17:0/22:6,762.6,385.3,7.7,1,19,5,Positive,FALSE
PE(P-18:0/18:1),PE P-18:0/18:1,PE P-18:0/18:1,730.6,339.3,9.7,1,19,5,Positive,FALSE
PE(P-18:0/18:1)-d9 (ISTD),[D9]PE P-18:0/18:1 (ISTD),PE P-18:0/18:1,739.6,348.3,9.7,1,19,5,Positive,TRUE
PE(P-18:0/18:2),PE P-18:0/18:2,PE P-18:0/18:2,728.6,337.3,8.7,1,19,5,Positive,FALSE
PE(P-18:0/18:3),PE P-18:0/18:3,PE P-18:0/18:3,726.5,335.3,7.9,1,19,5,Positive,FALSE
PE(P-18:0/20:3),PE P-18:0/20:3,PE P-18:0/20:3,754.5,363.3,9,1,19,5,Positive,FALSE
PE(P-18:0/20:4),PE P-18:0/20:4,PE P-18:0/20:4,752.6,361.3,8.6,1,19,5,Positive,FALSE
PE(P-18:0/20:5),PE P-18:0/20:5,PE P-18:0/20:5,750.5,359.3,7.8,1,19,5,Positive,FALSE
PE(P-18:0/22:4),PE P-18:0/22:4,PE P-18:0/22:4,780.6,389.3,9.4,1,19,5,Positive,FALSE
PE(P-18:0/22:5) (a\b),PE P-18:0/22:5,PE P-18:0/22:5,778.5,387.3,8.7,1.4,19,5,Positive,FALSE
PE(P-18:0/22:6),PE P-18:0/22:6,PE P-18:0/22:6,776.6,385.3,8.3,1,19,5,Positive,FALSE
PE(P-18:1/18:1),PE P-18:1/18:1,PE P-18:1/18:1,728.6,339.3,8.5,1,19,5,Positive,FALSE
PE(P-18:1/18:2),PE P-18:1/18:2,PE P-18:1/18:2,726.5,337.3,7.7,1,19,5,Positive,FALSE
PE(P-18:1/18:3),PE P-18:1/18:3,PE P-18:1/18:3,724.5,335.3,7.4,1,19,5,Positive,FALSE
PE(P-18:1/20:3),PE P-18:1/20:3,PE P-18:1/20:3,752.5,363.3,8,1,19,5,Positive,FALSE
PE(P-18:1/20:4),PE P-18:1/20:4,PE P-18:1/20:4,750.5,361.3,7.5,1,19,5,Positive,FALSE
PE(P-18:1/20:5),PE P-18:1/20:5,PE P-18:1/20:5,748.5,359.3,6.9,1,19,5,Positive,FALSE
PE(P-18:1/22:4),PE P-18:1/22:4,PE P-18:1/22:4,778.5,389.3,8.4,1,19,5,Positive,FALSE
PE(P-18:1/22:5) (a\b),PE P-18:1/22:5,PE P-18:1/22:5,776.6,387.3,7.6,1.4,19,5,Positive,FALSE
PE(P-18:1/22:6) (a\b),PE P-18:1/22:6,PE P-18:1/22:6,774.5,385.3,7.3,1,19,5,Positive,FALSE
PE(P-19:0/20:4) (a\b),PE P-19:0/20:4,PE P-19:0/20:4,766.6,361.3,9.1,1,19,5,Positive,FALSE
PE(P-20:0/18:1),PE P-20:0/18:1,PE P-20:0/18:1,758.6,339.3,10.1,1,19,5,Positive,FALSE
PE(P-20:0/18:2),PE P-20:0/18:2,PE P-20:0/18:2,756.6,337.3,9.9,1,19,5,Positive,FALSE
PE(P-20:0/20:4),PE P-20:0/20:4,PE P-20:0/20:4,780.6,361.3,9.8,1,19,5,Positive,FALSE
PE(P-20:0/22:6),PE P-20:0/22:6,PE P-20:0/22:6,804.6,385.3,9.6,1,19,5,Positive,FALSE
PE(P-20:1/20:4),PE P-20:1/20:4,PE P-20:1/20:4,778.5,361.3,8.7,1,19,5,Positive,FALSE
PE(P-20:1/22:6),PE P-20:1/22:6,PE P-20:1/22:6,802.6,385.3,8.5,1,19,5,Positive,FALSE
PG 33:1 d7 (ISTD),[D7]PG 33:1 (ISTD),PG 33:1,759.6,570.5,6.3,1,17,5,Positive,TRUE
PG 34:0 (17:0_17:0) (ISTD),PG 34:0 (ISTD),PG 34:0,768.6,579.5,7.3,1,17,5,Positive,TRUE
PG 34:1,PG 34:1,PG 34:1,766.6,577.5,6.4,1,17,5,Positive,FALSE
PG 34:2,PG 34:2,PG 34:2,764.6,575.5,5.8,1,17,5,Positive,FALSE
PG 36:1,PG 36:1,PG 36:1,794.6,605.6,7.4,1,17,5,Positive,FALSE
PG 36:2,PG 36:2,PG 36:2,792.6,603.5,6.7,1,17,5,Positive,FALSE
PI 25:0 (ISTD),PI 25:0 (ISTD),PI 25:0,730.6,453.6,3.9,1,17,5,Positive,TRUE
PI 32:0,PI 32:0,PI 32:0,828.6,551.6,6,1,17,5,Positive,FALSE
PI 32:1,PI 32:1,PI 32:1,826.5,549.5,5.4,1,17,5,Positive,FALSE
PI 34:0,PI 34:0,PI 34:0,856.6,579.6,6.4,1,17,5,Positive,FALSE
PI 34:1,PI 34:1,PI 34:1,854.6,577.6,6.2,1,17,5,Positive,FALSE
PI 35:1,PI 35:1,PI 35:1,868.6,591.6,6.6,1,17,5,Positive,FALSE
PI 35:2,PI 35:2,PI 35:2,866.6,589.6,6,1,17,5,Positive,FALSE
PI 36:1,PI 36:1,PI 36:1,882.6,605.6,7.2,2,17,5,Positive,FALSE
PI 36:2,PI 36:2,PI 36:2,880.6,603.6,6.5,2,17,5,Positive,FALSE
PI 36:3 (a\b\c),PI 36:3,PI 36:3,878.6,601.6,5.7,1,17,5,Positive,FALSE
PI 36:4,PI 36:4,PI 36:4,876.6,599.6,5.5,1,17,5,Positive,FALSE
PI 37:4 (a\b),PI 37:4,PI 37:4,890.6,613.6,5.9,1,17,5,Positive,FALSE
PI 37:6,PI 37:6,PI 37:6,886.6,609.6,5,1,17,5,Positive,FALSE
PI 38:2,PI 38:2,PI 38:2,908.6,631.6,7.3,1,17,5,Positive,FALSE
PI 38:3 (a\b),PI 38:3,PI 38:3,906.6,629.6,6.7,1,17,5,Positive,FALSE
PI 38:4,PI 38:4,PI 38:4,904.6,627.6,6.4,1,17,5,Positive,FALSE
PI 38:5 (a\b),PI 38:5,PI 38:5,902.6,625.6,5.6,1,17,5,Positive,FALSE
PI 38:6,PI 38:6,PI 38:6,900.6,623.6,5.4,1,17,5,Positive,FALSE
PI 39:6,PI 39:6,PI 39:6,914.6,637.6,5.8,1,17,5,Positive,FALSE
PI 40:4,PI 40:4,PI 40:4,932.6,655.6,7.1,1,17,5,Positive,FALSE
PI 40:5 (a\b),PI 40:5,PI 40:5,930.6,653.6,6.5,1,17,5,Positive,FALSE
PI 40:6,PI 40:6,PI 40:6,928.6,651.6,6.2,1,17,5,Positive,FALSE
PS 34:0 (17:0_17:0) (ISTD),PS 34:0 (ISTD),PS 34:0,764.5,579.5,7.3,1,23,5,Positive,TRUE
